Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_1 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_10 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_3 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_5 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_1 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_10 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_3 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_5 Docs,roberta-base_q_a_256_roberta-base_q_a_256_1 Docs,roberta-base_q_a_256_roberta-base_q_a_256_10 Docs,roberta-base_q_a_256_roberta-base_q_a_256_3 Docs,roberta-base_q_a_256_roberta-base_q_a_256_5 Docs,t5-base_q_a_256_t5-base_q_a_256_1 Docs,t5-base_q_a_256_t5-base_q_a_256_10 Docs,t5-base_q_a_256_t5-base_q_a_256_3 Docs,t5-base_q_a_256_t5-base_q_a_256_5 Docs
icsa-23-222-09_chunk_14.txt,256,,to reduce risk,high attack complexity,The manipulation leads to memory leak,The manipulation leads to memory leak,PN/DP,CISA at this,7.8 has been assigned,7.8 has been assigned,workarounds and mitigations users,vulnerability has been reported to CISA at this time.,The manipulation leads to use,The manipulation leads to use,reduce risk,FALSE,FALSE,FALSE
aa21-008a_chunk_0.txt,256,,Compromising or bypassing federated identity solutions; Using forged authentication tokens,Sentinel detection for identifying changes to the identity federation from a user or application,Sentinel detection for identifying changes to the identity federation from a user or application,Sentinel detection for identifying changes to the identity federation from a user or application,’s cloud environment to establish difficult-,"6, 2021","6, 2021","6, 2021",Application Programming Interface (API)-based access,resources,resources,resources,,,,
aa21-062a_chunk_6.txt,256,,perform triage,extortion of the organization,collect information from victim environments,collect information from victim environments,"Request.Form[\""""","enumerate accessible network shares in a domain.[21],[22","6, 2021","6, 2021",tools,information on network shares,resources,resources,TRUE,"FBI,",FALSE,FALSE
aa23-339a_chunk_0.txt,256,,improper access control issue,improper access control issue,improper access control issue,improper access control issue,23-339A STIX JSON (JSON,23-339A STIX JSON (JSON,23-339A STIX JSON (JSON,23-339A STIX JSON (JSON,methods to detect and protect,methods to detect and protect,methods to detect and protect,methods to detect and protect,improper access control issue,improper access control issue,improper access control issue,improper access control issue
ar23-209a_chunk_10.txt,256,,Detects SUBMARINE Barracuda backdoor samples,Detects SUBMARINE Barracuda backdoor samples,Detects SUBMARINE Barracuda backdoor samples,Detects SUBMARINE Barracuda backdoor samples,9 = { 73 65 6e 64 } $s10 =,9 = { 73 65 6e 64 } $s10 =,9 = { 73 65 6e 64 } $s10 =,9 = { 73 65 6e 64 } $s10 =,executable responsible,executable responsible,executable responsible,executable responsible,"SHA256_1 = ""81cf3b162a4fe1f1b916021ec652ade4a14df808021eeb9f7c81c8d2326bddab""","SHA256_1 = ""81cf3b162a4fe1f1b916021ec652ade4a14df808021eeb9f7c81c8d2326bddab""","SHA256_1 = ""81cf3b162a4fe1f1b916021ec652ade4a14df808021eeb9f7c81c8d2326bddab""","SHA256_1 = ""81cf3b162a4fe1f1b916021ec652ade4a14df808021eeb9f7c81c8d2326bddab"""
aa22-320a_chunk_4.txt,256,,to obtain a list of all machines attached to the domain,extortion of the organization,the adversary creates unauthorized but valid tokens,the adversary creates unauthorized but valid tokens,lennut[.],"enumerate accessible network shares in a domain.[21],[22","6, 2021","6, 2021",threat,information on network shares [T1039] that,resources,resources,to obtain a list of all machines attached to the domain,transcription logging enabled (enhanced logging).,to obtain a list of all machines attached to the domain,to obtain a list of all machines attached to the domain
aa23-250a_chunk_15.txt,256,,to establish an RDP connection with the ServiceDesk system,to establish an RDP connection with the ServiceDesk system,to establish an RDP connection with the ServiceDesk system,to establish an RDP connection with the ServiceDesk system,Actors initiated multiple TLS,Actors initiated multiple TLS,Actors initiated multiple TLS,Actors initiated multiple TLS,Actors,Actors,Actors,Actors,Actors compromised one host and moved laterally to install anydesk.exe on two additional hosts,Actors compromised one host and moved laterally to install anydesk.exe on two additional hosts,Actors compromised one host and moved laterally to install anydesk.exe on two additional hosts,Actors compromised one host and moved laterally to install anydesk.exe on two additional hosts
aa21-356a_chunk_1.txt,256,,new vulnerabilities,new vulnerabilities,new vulnerabilities,new vulnerabilities,"CCCS, CERT NZ, NZ NCSC,","CCCS, CERT NZ, NZ NCSC,","CCCS, CERT NZ, NZ NCSC,","CCCS, CERT NZ, NZ NCSC,",services by service mark,services by service mark,services by service mark,services by service mark,,,,
aa24-038a_chunk_42.txt,256,,Volt Typhoon actors ATT&CK Techniques,Volt Typhoon actors ATT&CK Techniques,Volt Typhoon actors ATT&CK Techniques,Volt Typhoon actors ATT&CK Techniques,CK Techniques,CK Techniques,CK Techniques,CK Techniques,vulnerabilities in,vulnerabilities in,vulnerabilities in,vulnerabilities in,"Obtain Capabilities: Exploits T1588.005 Table 7: Volt Typhoon uses publicly available exploit code, but is also adept at discovering and exploiting vulnerabilities as zero days","Obtain Capabilities: Exploits T1588.005 Table 7: Volt Typhoon uses publicly available exploit code, but is also adept at discovering and exploiting vulnerabilities as zero days","Obtain Capabilities: Exploits T1588.005 Table 7: Volt Typhoon uses publicly available exploit code, but is also adept at discovering and exploiting vulnerabilities as zero days","Obtain Capabilities: Exploits T1588.005 Table 7: Volt Typhoon uses publicly available exploit code, but is also adept at discovering and exploiting vulnerabilities as zero days"
icsa-24-074-07_chunk_11.txt,256,,memory corruption,memory corruption,memory corruption,memory corruption,(CVSS:3.,(CVSS:3.,(CVSS:3.,(CVSS:3.,"files, there","files, there","files, there","files, there",memory corruption,memory corruption,memory corruption,memory corruption
ar22-277a_chunk_9.txt,256,,remote server,remote server,remote server,remote server,"2 = ""UploadPartWithStopwatch","2 = ""UploadPartWithStopwatch","2 = ""UploadPartWithStopwatch","2 = ""UploadPartWithStopwatch",Internet. The program will look,Internet. The program will look,Internet. The program will look,Internet. The program will look,The FileContainer module is capable of generating an MD5 hash of each file and compressing files using the Gzip or Brotli algorithms,The FileContainer module is capable of generating an MD5 hash of each file and compressing files using the Gzip or Brotli algorithms,The FileContainer module is capable of generating an MD5 hash of each file and compressing files using the Gzip or Brotli algorithms,The FileContainer module is capable of generating an MD5 hash of each file and compressing files using the Gzip or Brotli algorithms
aa23-201a_chunk_0.txt,256,,remote code execution,remote code execution,remote code execution,remote code execution,.29 KB ) In August 2023,.29 KB ) In August 2023,.29 KB ) In August 2023,.29 KB ) In August 2023,TTPs,TTPs,TTPs,TTPs,CVE-2023-3519,CVE-2023-3519,CVE-2023-3519,CVE-2023-3519
aa22-055a_chunk_14.txt,256,,beacons are sent to,beacons are sent to,beacons are sent to,beacons are sent to,do not come from this channel. This value cannot,do not come from this channel. This value cannot,do not come from this channel. This value cannot,do not come from this channel. This value cannot,This command causes,This command causes,This command causes,This command causes,"2090761833 This is the Telegram Channel ID that beacons are sent to, and, from which, tasking requests are received","2090761833 This is the Telegram Channel ID that beacons are sent to, and, from which, tasking requests are received","2090761833 This is the Telegram Channel ID that beacons are sent to, and, from which, tasking requests are received","2090761833 This is the Telegram Channel ID that beacons are sent to, and, from which, tasking requests are received"
aa23-136a_chunk_3.txt,256,,BianLian group actors use Windows Command Shell,BianLian group actors use Windows Command Shell,BianLian group actors use Windows Command Shell,BianLian group actors use Windows Command Shell,BianLian actors use a portable executable version,BianLian actors use a portable executable version,BianLian actors use a portable executable version,BianLian actors use a portable executable version,Windows management protocols required to support an enterprise network. Threat,Windows management protocols required to support an enterprise network. Threat,Windows management protocols required to support an enterprise network. Threat,Windows management protocols required to support an enterprise network. Threat,,,,
aa23-144a_chunk_10.txt,256,,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities,C:\users,C:\users,C:\users,C:\users,"address> ""cmd.exe"" /c wmic","address> ""cmd.exe"" /c wmic","address> ""cmd.exe"" /c wmic","address> ""cmd.exe"" /c wmic",to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities
aa23-059a_chunk_22.txt,256,,criteria for prioritizing updates to legacy systems or for segmenting the network,criteria for prioritizing updates to legacy systems or for segmenting the network,criteria for prioritizing updates to legacy systems or for segmenting the network,criteria for prioritizing updates to legacy systems or for segmenting the network,e.g,e.g,e.g,e.g,traffic from hosts that do not require it.,traffic from hosts that do not require it.,traffic from hosts that do not require it.,traffic from hosts that do not require it.,"Consider disabling or limiting NTLM and WDigest Authentication if possible, including using their use as criteria for prioritizing updates to legacy systems or for segmenting the network","Consider disabling or limiting NTLM and WDigest Authentication if possible, including using their use as criteria for prioritizing updates to legacy systems or for segmenting the network","Consider disabling or limiting NTLM and WDigest Authentication if possible, including using their use as criteria for prioritizing updates to legacy systems or for segmenting the network","Consider disabling or limiting NTLM and WDigest Authentication if possible, including using their use as criteria for prioritizing updates to legacy systems or for segmenting the network"
aa23-074a_chunk_10.txt,256,,some masqueraded as PNG files,some masqueraded as PNG files,some masqueraded as PNG files,some masqueraded as PNG files,"’s malware enumerates systems, processes","’s malware enumerates systems, processes","’s malware enumerates systems, processes","’s malware enumerates systems, processes",Layer Protocol T1095 Actors,Layer Protocol T1095 Actors,Layer Protocol T1095 Actors,Layer Protocol T1095 Actors,evade detection,evade detection,evade detection,evade detection
aa23-278a_chunk_14.txt,256,,Hashcat,Hashcat,Hashcat,Hashcat,"cleartext passwords, allowing them","cleartext passwords, allowing them","cleartext passwords, allowing them","cleartext passwords, allowing them",credentials to log into,credentials to log into,credentials to log into,credentials to log into,"dictionary wordlists and rulesets, often using a database of billions of previously compromised passwords, in an attempt to find the matching plaintext password","dictionary wordlists and rulesets, often using a database of billions of previously compromised passwords, in an attempt to find the matching plaintext password","dictionary wordlists and rulesets, often using a database of billions of previously compromised passwords, in an attempt to find the matching plaintext password","dictionary wordlists and rulesets, often using a database of billions of previously compromised passwords, in an attempt to find the matching plaintext password"
aa23-347a_chunk_7.txt,256,,to exfiltrate Windows Registry,to exfiltrate Windows Registry,to exfiltrate Windows Registry,to exfiltrate Windows Registry,SVR performed network reconnaissance using a mix,SVR performed network reconnaissance using a mix,SVR performed network reconnaissance using a mix,SVR performed network reconnaissance using a mix,Environments,Environments,Environments,Environments,,,,
ar21-134a_chunk_13.txt,256,,agencies subject to the requirements must complete the applicable,agencies subject to the requirements must complete the applicable,agencies subject to the requirements must complete the applicable,agencies subject to the requirements must complete the applicable,21-01: Supplemental Direction Version 4,21-01: Supplemental Direction Version 4,21-01: Supplemental Direction Version 4,21-01: Supplemental Direction Version 4,activity will expose enterprise networks and,activity will expose enterprise networks and,activity will expose enterprise networks and,activity will expose enterprise networks and,Conducting all of the steps in this guidance is necessary to fully evict the adversary from applicable networks,Conducting all of the steps in this guidance is necessary to fully evict the adversary from applicable networks,Conducting all of the steps in this guidance is necessary to fully evict the adversary from applicable networks,Conducting all of the steps in this guidance is necessary to fully evict the adversary from applicable networks
aa23-250a_chunk_9.txt,256,,Interact,Interact,Interact,Interact,hiv These files were dumped to obtain registry information such,hiv These files were dumped to obtain registry information such,hiv These files were dumped to obtain registry information such,hiv These files were dumped to obtain registry information such,"applications in any cloud, private network, or devices with authentication, load balancing","applications in any cloud, private network, or devices with authentication, load balancing","applications in any cloud, private network, or devices with authentication, load balancing","applications in any cloud, private network, or devices with authentication, load balancing",Domain Name System (DNS) scanning at an additional server (not the ServiceDesk system) and directed callback to the Interact.sh domain,Domain Name System (DNS) scanning at an additional server (not the ServiceDesk system) and directed callback to the Interact.sh domain,Domain Name System (DNS) scanning at an additional server (not the ServiceDesk system) and directed callback to the Interact.sh domain,Domain Name System (DNS) scanning at an additional server (not the ServiceDesk system) and directed callback to the Interact.sh domain
aa24-038a_chunk_11.txt,256,,to create a volume shadow copy,to create a volume shadow copy,to create a volume shadow copy,to create a volume shadow copy,Mimikatz is a credential dumping tool and Volt,Mimikatz is a credential dumping tool and Volt,Mimikatz is a credential dumping tool and Volt,Mimikatz is a credential dumping tool and Volt,RDP to connect,RDP to connect,RDP to connect,RDP to connect,to create a volume shadow copy,to create a volume shadow copy,to create a volume shadow copy,to create a volume shadow copy
home-network-security_chunk_18.txt,256,,UPnP feature eases initial network configuration,UPnP feature eases initial network configuration,UPnP feature eases initial network configuration,UPnP feature eases initial network configuration,’s website to monitor for unauthorized devices joining or attempting,’s website to monitor for unauthorized devices joining or attempting,’s website to monitor for unauthorized devices joining or attempting,’s website to monitor for unauthorized devices joining or attempting,unauthorized devices from connecting to your network. Mitigate Email Threats,unauthorized devices from connecting to your network. Mitigate Email Threats,unauthorized devices from connecting to your network. Mitigate Email Threats,unauthorized devices from connecting to your network. Mitigate Email Threats,"UPnP feature eases initial network configuration, it is also a security risk","UPnP feature eases initial network configuration, it is also a security risk","UPnP feature eases initial network configuration, it is also a security risk","UPnP feature eases initial network configuration, it is also a security risk"
aa20-352a_chunk_3.txt,256,,making it a valuable target for adversary activity,making it a valuable target for adversary activity,making it a valuable target for adversary activity,making it a valuable target for adversary activity,APT previously stole in order,APT previously stole in order,APT previously stole in order,APT previously stole in order,"software lifecycle, which was then signed by the legitimate","software lifecycle, which was then signed by the legitimate","software lifecycle, which was then signed by the legitimate","software lifecycle, which was then signed by the legitimate",,,,
ar21-134a_chunk_8.txt,256,,keys and strings,keys and strings,keys and strings,keys and strings,"certificates, etc.). Monitor for failed logins resulting","certificates, etc.). Monitor for failed logins resulting","certificates, etc.). Monitor for failed logins resulting","certificates, etc.). Monitor for failed logins resulting",IdP sources. Harden SSO features. (See FireEye,IdP sources. Harden SSO features. (See FireEye,IdP sources. Harden SSO features. (See FireEye,IdP sources. Harden SSO features. (See FireEye,"Change all credentials being used to manage network devices, including keys and strings used to secure network device functions","Change all credentials being used to manage network devices, including keys and strings used to secure network device functions","Change all credentials being used to manage network devices, including keys and strings used to secure network device functions","Change all credentials being used to manage network devices, including keys and strings used to secure network device functions"
icsa-24-046-11_chunk_35.txt,256,,if a certificate check callback is not set,if a certificate check callback is not set,if a certificate check callback is not set,if a certificate check callback is not set,libgit2 require the caller,libgit2 require the caller,libgit2 require the caller,libgit2 require the caller,does not perform certificate checking,does not perform certificate checking,does not perform certificate checking,does not perform certificate checking,allowing for data exfiltration,allowing for data exfiltration,allowing for data exfiltration,allowing for data exfiltration
icsa-24-074-07_chunk_43.txt,256,,User interaction is not needed for exploitation,User interaction is not needed for exploitation,User interaction is not needed for exploitation,User interaction is not needed for exploitation,(CVSS:3.,(CVSS:3.,(CVSS:3.,(CVSS:3.,User,User,User,User,3.2.142 IMPROPER CHECK FOR UNUSUAL OR EXCEPTIONAL CONDITIONS CWE-754,3.2.142 IMPROPER CHECK FOR UNUSUAL OR EXCEPTIONAL CONDITIONS CWE-754,3.2.142 IMPROPER CHECK FOR UNUSUAL OR EXCEPTIONAL CONDITIONS CWE-754,3.2.142 IMPROPER CHECK FOR UNUSUAL OR EXCEPTIONAL CONDITIONS CWE-754
aa23-215a_chunk_5.txt,256,,Path Traversal,Path Traversal,Path Traversal,Path Traversal,CWE-306,CWE-306,CWE-306,CWE-306,Vendors,Vendors,Vendors,Vendors,CWE-22: Improper Limitation of a Pathname,CWE-22: Improper Limitation of a Pathname,CWE-22: Improper Limitation of a Pathname,CWE-22: Improper Limitation of a Pathname
aa23-325a_chunk_9.txt,256,,to create three cabinet (.cab) files,to create three cabinet (.cab) files,to create three cabinet (.cab) files,to create three cabinet (.cab) files,4 =,4 =,4 =,4 =,}$s5 = {,}$s5 = {,}$s5 = {,}$s5 = {,,,,
icsa-24-046-11_chunk_48.txt,256,,allows a remote attacker to cause a denial of service,extortion of the organization,it is possible that authentication can occur outside of an organization’s known infrastructure,it is possible that authentication can occur outside of an organization’s known infrastructure,2023-32067 has been assigned to this vulnerability,"enumerate accessible network shares in a domain.[21],[22","6, 2021","6, 2021",resolver. The target resolver,information on network shares,resources,resources,,,,
aa24-038a_chunk_36.txt,256,,in a production environment,in a production environment,in a production environment,in a production environment,#NAME?,#NAME?,#NAME?,#NAME?,infrastructure with living-off-the,infrastructure with living-off-the,infrastructure with living-off-the,infrastructure with living-off-the,VALIDATE SECURITY CONTROLS,VALIDATE SECURITY CONTROLS,VALIDATE SECURITY CONTROLS,VALIDATE SECURITY CONTROLS
aa23-347a_chunk_11.txt,256,,to store infection-specific BMP files - with both commands and results,to store infection-specific BMP files - with both commands and results,to store infection-specific BMP files - with both commands and results,to store infection-specific BMP files - with both commands and results,SVR cyber actors used: Mimikatz commands to gain access,SVR cyber actors used: Mimikatz commands to gain access,SVR cyber actors used: Mimikatz commands to gain access,SVR cyber actors used: Mimikatz commands to gain access,"Additionally, SVR cyber","Additionally, SVR cyber","Additionally, SVR cyber","Additionally, SVR cyber",exchange data is exfiltrated to an their C2 station,exchange data is exfiltrated to an their C2 station,exchange data is exfiltrated to an their C2 station,exchange data is exfiltrated to an their C2 station
aa20-352a_chunk_1.txt,256,,CISA will update this Alert as new information becomes available,CISA will update this Alert as new information becomes available,CISA will update this Alert as new information becomes available,CISA will update this Alert as new information becomes available,-01. CISA,-01. CISA,-01. CISA,-01. CISA,adversary that,adversary that,adversary that,adversary that,TRUE,TRUE,TRUE,TRUE
aa23-250a_chunk_19.txt,256,,controlling traffic flows between—and access to—various subnetworks,controlling traffic flows between—and access to—various subnetworks,controlling traffic flows between—and access to—various subnetworks,controlling traffic flows between—and access to—various subnetworks,.g,.g,.g,.g,"information, time of access, user","information, time of access, user","information, time of access, user","information, time of access, user",controlling traffic flows between—and access to—various subnetworks,controlling traffic flows between—and access to—various subnetworks,controlling traffic flows between—and access to—various subnetworks,controlling traffic flows between—and access to—various subnetworks
aa23-250a_chunk_7.txt,256,,to create a scheduled task and force-store administrative credentials to the local machine,to create a scheduled task and force-store administrative credentials to the local machine,to create a scheduled task and force-store administrative credentials to the local machine,to create a scheduled task and force-store administrative credentials to the local machine,177.56,177.56,177.56,177.56,requests,requests,requests,requests,FALSE,to establish connections back to malicious infrastructure,FALSE,FALSE
icsa-23-166-10_chunk_13.txt,256,,CVE-2022-42703 has been assigned to this vulnerability,CVE-2022-42703 has been assigned to this vulnerability,CVE-2022-42703 has been assigned to this vulnerability,CVE-2022-42703 has been assigned to this vulnerability,4.7 has been calculated,4.7 has been calculated,4.7 has been calculated,4.7 has been calculated,overflow vulnerability was found in,overflow vulnerability was found in,overflow vulnerability was found in,overflow vulnerability was found in,CVE-2022-40307,CVE-2023-0286 has been assigned to this vulnerability,CVE-2022-40307,CVE-2023-0286 has been assigned to this vulnerability
aa23-187a_chunk_4.txt,256,,POST request,POST request,POST request,POST request,number of Raspberry Robin infections have leveraged this exploitable CVE.[2,number of Raspberry Robin infections have leveraged this exploitable CVE.[2,number of Raspberry Robin infections have leveraged this exploitable CVE.[2,number of Raspberry Robin infections have leveraged this exploitable CVE.[2,tool (RAT) that,tool (RAT) that,tool (RAT) that,tool (RAT) that,TRUE,TRUE,TRUE,TRUE
aa20-352a_chunk_4.txt,256,,engaged in further unexplained communications,engaged in further unexplained communications,engaged in further unexplained communications,engaged in further unexplained communications,SolarWinds Orion backdoor. Instead,SolarWinds Orion backdoor. Instead,SolarWinds Orion backdoor. Instead,SolarWinds Orion backdoor. Instead,"addresses in the home country of the victim, for most communications to hide","addresses in the home country of the victim, for most communications to hide","addresses in the home country of the victim, for most communications to hide","addresses in the home country of the victim, for most communications to hide",,,,
aa23-165a_chunk_14.txt,256,,The CPGs provide a minimum set of practices and protections,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,3,"6, 2021","6, 2021","6, 2021",protections that CISA and NIST recommend all organizations implement.,resources,resources,resources,,,,
aa22-055a_chunk_3.txt,256,,enabling persistence,enabling persistence,enabling persistence,enabling persistence,.g,.g,.g,.g,Applications (VBA) and two encoded Windows Script Files. When the victim,Applications (VBA) and two encoded Windows Script Files. When the victim,Applications (VBA) and two encoded Windows Script Files. When the victim,Applications (VBA) and two encoded Windows Script Files. When the victim,FALSE,FALSE,FALSE,FALSE
aa23-074a_chunk_14.txt,256,,to execute payload,to execute payload,to execute payload,to execute payload,45.77.212[.],45.77.212[.],45.77.212[.],45.77.212[.],files,files,files,files,to execute payload,to execute payload,to execute payload,to execute payload
aa22-055a_chunk_0.txt,256,,open-source tools,open-source tools,open-source tools,open-source tools,support of MOIS objectives since approximately 2018. MuddyWater,support of MOIS objectives since approximately 2018. MuddyWater,support of MOIS objectives since approximately 2018. MuddyWater,support of MOIS objectives since approximately 2018. MuddyWater,These actors also maintain persistence on victim,These actors also maintain persistence on victim,These actors also maintain persistence on victim,These actors also maintain persistence on victim,TRUE,exploit unpatched vulnerabilities,TRUE,TRUE
aa22-055a_chunk_15.txt,256,,Small Sieve obfuscates its tasking and response,Small Sieve obfuscates its tasking and response,Small Sieve obfuscates its tasking and response,Small Sieve obfuscates its tasking and response,32.18 Traffic obfuscation,32.18 Traffic obfuscation,32.18 Traffic obfuscation,32.18 Traffic obfuscation,API is protected,API is protected,API is protected,API is protected,Internal strings and new Telegram tokens are stored obfuscated with a custom alphabet and Base64-encoded,Internal strings and new Telegram tokens are stored obfuscated with a custom alphabet and Base64-encoded,Internal strings and new Telegram tokens are stored obfuscated with a custom alphabet and Base64-encoded,Internal strings and new Telegram tokens are stored obfuscated with a custom alphabet and Base64-encoded
aa23-213a_chunk_8.txt,256,,Authentication Bypass Vulnerability Mnemonic,Authentication Bypass Vulnerability Mnemonic,Authentication Bypass Vulnerability Mnemonic,Authentication Bypass Vulnerability Mnemonic,NCSC,NCSC,NCSC,NCSC,49c5d666a6d10a1,49c5d666a6d10a1,49c5d666a6d10a1,49c5d666a6d10a1,0092ce298a1d451fbe93dc4237053a96,0092ce298a1d451fbe93dc4237053a96,0092ce298a1d451fbe93dc4237053a96,0092ce298a1d451fbe93dc4237053a96
aa24-038a_chunk_15.txt,256,,to move laterally,to move laterally,to move laterally,to move laterally,"substation, OT systems, and network security devices. This would enable them","substation, OT systems, and network security devices. This would enable them","substation, OT systems, and network security devices. This would enable them","substation, OT systems, and network security devices. This would enable them",laterally to a,laterally to a,laterally to a,laterally to a,,,,
icsa-24-046-11_chunk_30.txt,256,,by calling btrfs_ioctl_balance,by calling btrfs_ioctl_balance,by calling btrfs_ioctl_balance,by calling btrfs_ioctl_balance,2023-3090 has been assigned to this vulnerability,2023-3090 has been assigned to this vulnerability,2023-3090 has been assigned to this vulnerability,2023-3090 has been assigned to this vulnerability,#NAME?,#NAME?,#NAME?,#NAME?,influence mispredicted branches within the victim's hardware context,influence mispredicted branches within the victim's hardware context,influence mispredicted branches within the victim's hardware context,influence mispredicted branches within the victim's hardware context
icsa-24-046-11_chunk_21.txt,256,,vulnerability,automatically detect and prevent malicious files from executing,It is recommended to apply a patch to fix this issue,automatically detect and prevent malicious files from executing,heimdal,dhs.gov (UNCLASS) CISA encourages you,7.8 has been assigned,dhs.gov (UNCLASS) CISA encourages you,occur is there,Economic Aggression Threatens,The manipulation leads to use,Economic Aggression Threatens,"A fix is planned in 3.11.1, 3.10.9, 3.9.16, 3.8.16, and 3.7.16",all versions SIMATIC S7-1500 CPU 1515-2 PN (6ES7515-2AN03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2DN03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2WN03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2,"A fix is planned in 3.11.1, 3.10.9, 3.9.16, 3.8.16, and 3.7.16","A fix is planned in 3.11.1, 3.10.9, 3.9.16, 3.8.16, and 3.7.16"
aa23-074a_chunk_12.txt,256,,$s6 and $s7,$s6 and $s7,$s6 and $s7,$s6 and $s7,6 =,6 =,6 =,6 =,$s11 = { 28 2A 29 28 29,$s11 = { 28 2A 29 28 29,$s11 = { 28 2A 29 28 29,$s11 = { 28 2A 29 28 29,($s0 and $s1 and $s2) or ($s3 and $s4 and $s5 and $s6 and $s6 and $s7),($s0 and $s1 and $s2) or ($s3 and $s4 and $s5 and $s6 and $s6 and $s7),($s0 and $s1 and $s2) or ($s3 and $s4 and $s5 and $s6 and $s6 and $s7),($s0 and $s1 and $s2) or ($s3 and $s4 and $s5 and $s6 and $s6 and $s7)
aa23-347a_chunk_16.txt,256,,detects most known GraphicalProton variants,block malicious traffic from entering your home network and alert you to potentially dangerous activity,detects most known GraphicalProton variants,detects most known GraphicalProton variants,"rax, 40h ;","addition to a network firewall, consider installing a firewall on all computers connected","rax, 40h ;","rax, 40h ;",40,"software-based, these firewalls",40,40,TRUE,"allow an attacker to pass arbitrary pointers to a memcmp call, enabling them to read memory contents or enact a denial of service",User interaction is not needed for exploitation,"allow an attacker to pass arbitrary pointers to a memcmp call, enabling them to read memory contents or enact a denial of service"
aa21-062a_chunk_5.txt,256,,assist in finding signs of a compromise,assist in finding signs of a compromise,assist in finding signs of a compromise,assist in finding signs of a compromise,"3 = "".Substring("" $t4","3 = "".Substring("" $t4","3 = "".Substring("" $t4","3 = "".Substring("" $t4","$s1 = ""System.Net.Sockets","$s1 = ""System.Net.Sockets","$s1 = ""System.Net.Sockets","$s1 = ""System.Net.Sockets",to assist in finding signs of a compromise,to assist in finding signs of a compromise,to assist in finding signs of a compromise,to assist in finding signs of a compromise
aa23-059a_chunk_18.txt,256,,to move laterally through the domain and gain persistence,to move laterally through the domain and gain persistence,to move laterally through the domain and gain persistence,to move laterally through the domain and gain persistence,MFA prompt. There were strong security controls and segmentation for SBS,MFA prompt. There were strong security controls and segmentation for SBS,MFA prompt. There were strong security controls and segmentation for SBS,MFA prompt. There were strong security controls and segmentation for SBS,controls,controls,controls,controls,Smart card use was inconsistent across the domain,Smart card use was inconsistent across the domain,Smart card use was inconsistent across the domain,Smart card use was inconsistent across the domain
icsa-24-046-11_chunk_25.txt,256,,unauthorized data access or modification,unauthorized data access or modification,unauthorized data access or modification,unauthorized data access or modification,3.1,3.1,3.1,3.1,SYN flood attack. A user,SYN flood attack. A user,SYN flood attack. A user,SYN flood attack. A user,allocate buffer one byte too small,allocate buffer one byte too small,allocate buffer one byte too small,allocate buffer one byte too small
ar23-209a_chunk_6.txt,256,,"to perform a combination of file manipulation, script generation and execution",extortion of the organization,"to perform a combination of file manipulation, script generation and execution","to perform a combination of file manipulation, script generation and execution",run.sh' is to perform a combination,"enumerate accessible network shares in a domain.[21],[22",run.sh' is to perform a combination,run.sh' is to perform a combination,execution (Figure 4). There,information on network shares,execution (Figure 4). There,execution (Figure 4). There,'run.sh' is a SUBMARINE loader,"Reads and/or writes data from the following Registry Keys, HKLMSoftwareNFCIPA and HKLMSoftwareNFC(Default).",'run.sh' is a SUBMARINE loader,'run.sh' is a SUBMARINE loader
aa21-356a_chunk_3.txt,256,,increased exploitation,increased exploitation,increased exploitation,increased exploitation,CCCS,CCCS,CCCS,CCCS,"vulnerabilities, see the Apache Log4j Security Vulnerabilities webpage. Mitigations","vulnerabilities, see the Apache Log4j Security Vulnerabilities webpage. Mitigations","vulnerabilities, see the Apache Log4j Security Vulnerabilities webpage. Mitigations","vulnerabilities, see the Apache Log4j Security Vulnerabilities webpage. Mitigations","Java is used extensively across IT and OT platforms, they are easy to exploit, and applying mitigations is resource intensive","Java is used extensively across IT and OT platforms, they are easy to exploit, and applying mitigations is resource intensive","Java is used extensively across IT and OT platforms, they are easy to exploit, and applying mitigations is resource intensive","Java is used extensively across IT and OT platforms, they are easy to exploit, and applying mitigations is resource intensive"
